iter	Passed	Remaining
761	1370	428
762	1372	426
763	1374	424
764	1376	422
765	1379	421
766	1381	419
767	1383	417
768	1385	416
769	1387	414
770	1389	412
771	1390	410
772	1391	408
773	1393	406
774	1394	404
775	1395	402
776	1397	401
777	1399	399
778	1401	397
779	1403	395
780	1405	394
781	1407	392
782	1409	390
783	1410	388
784	1412	386
785	1413	384
786	1415	383
787	1417	381
788	1418	379
789	1420	377
790	1421	375
791	1422	373
792	1424	371
793	1425	369
794	1427	368
795	1428	366
796	1430	364
797	1432	362
798	1433	360
799	1435	358
800	1436	356
801	1437	354
802	1438	352
803	1440	351
804	1441	349
805	1442	347
806	1444	345
807	1446	343
808	1447	341
809	1449	339
810	1450	338
811	1452	336
812	1453	334
813	1454	332
814	1455	330
815	1457	328
816	1458	326
817	1460	324
818	1461	323
819	1463	321
820	1465	319
821	1466	317
822	1468	315
823	1469	313
824	1470	311
825	1471	310
826	1473	308
827	1474	306
828	1475	304
829	1477	302
830	1479	300
831	1481	299
832	1482	297
833	1484	295
834	1485	293
835	1486	291
836	1488	289
837	1489	287
838	1490	286
839	1492	284
840	1493	282
841	1494	280
842	1496	278
843	1497	276
844	1499	275
845	1501	273
846	1502	271
847	1504	269
848	1505	267
849	1506	265
850	1507	264
851	1509	262
852	1510	260
853	1512	258
854	1514	256
855	1515	254
856	1517	253
857	1518	251
858	1519	249
859	1521	247
860	1522	245
861	1524	243
862	1525	242
863	1527	240
864	1528	238
865	1530	236
866	1532	235
867	1533	233
868	1534	231
869	1535	229
870	1537	227
871	1538	225
872	1539	224
873	1541	222
874	1543	220
875	1544	218
876	1546	216
877	1547	215
878	1549	213
879	1550	211
880	1552	209
881	1553	207
882	1555	206
883	1557	204
884	1558	202
885	1560	200
886	1562	198
887	1563	197
888	1564	195
889	1566	193
890	1567	191
891	1568	189
892	1570	188
893	1571	186
894	1572	184
895	1574	182
896	1576	180
897	1578	179
898	1579	177
899	1581	175
900	1582	173
901	1583	172
902	1585	170
903	1586	168
904	1587	166
905	1589	164
906	1590	163
907	1591	161
908	1592	159
909	1594	157
910	1596	155
911	1598	154
912	1599	152
913	1601	150
914	1602	148
915	1603	147
916	1605	145
917	1606	143
918	1607	141
919	1609	139
920	1611	138
921	1612	136
922	1614	134
923	1616	132
924	1617	131
925	1618	129
926	1619	127
927	1621	125
928	1622	124
929	1624	122
930	1625	120
931	1627	118
932	1628	116
933	1630	115
934	1631	113
935	1632	111
936	1634	109
937	1635	108
938	1636	106
939	1638	104
940	1640	102
941	1642	101
942	1644	99
943	1645	97
944	1646	95
945	1648	94
946	1650	92
947	1651	90
948	1652	88
949	1654	87
950	1655	85
951	1656	83
952	1658	81
953	1660	80
954	1661	78
955	1663	76
956	1664	74
957	1666	73
958	1667	71
959	1668	69
960	1670	67
961	1672	66
962	1674	64
963	1675	62
964	1677	60
965	1678	59
